date,year,district,year_month,unemployment_gap,unemployment_rate,dissent,direction,dissent_easier
1976-08-17,1976.0,9,1976-08,-2.374907407407408,4.7,0.0,None,0
1976-08-17,1976.0,10,1976-08,-1.8915740740740743,5.183333333333334,0.0,None,0
1976-08-17,1976.0,11,1976-08,-0.774907407407408,6.3,0.0,None,0
1976-08-17,1976.0,12,1976-08,1.0139814814814807,8.088888888888889,0.0,None,0
1976-09-21,1976.0,1,1976-09,1.090972222222221,8.183333333333332,0.0,None,0
1976-09-21,1976.0,2,1976-09,3.1076388888888884,10.2,0.0,None,0
1976-09-21,1976.0,3,1976-09,2.074305555555555,9.166666666666666,0.0,None,0
1976-09-21,1976.0,4,1976-09,-0.7423611111111112,6.35,0.0,None,0
1976-09-21,1976.0,5,1976-09,-0.2756944444444444,6.816666666666666,0.0,None,0
1976-09-21,1976.0,6,1976-09,0.1876388888888884,7.279999999999999,0.0,None,0
1976-09-21,1976.0,7,1976-09,-0.9723611111111108,6.12,0.0,None,0
1976-09-21,1976.0,8,1976-09,-0.5923611111111109,6.5,0.0,None,0
1976-09-21,1976.0,9,1976-09,-2.3173611111111105,4.775,0.0,None,0
1976-09-21,1976.0,10,1976-09,-1.8923611111111107,5.2,0.0,None,0
1976-09-21,1976.0,11,1976-09,-0.7423611111111112,6.35,0.0,None,0
1976-09-21,1976.0,12,1976-09,1.0743055555555552,8.166666666666666,0.0,None,0
1976-10-19,1976.0,1,1976-10,1.0488888888888883,8.166666666666666,0.0,None,0
1976-10-19,1976.0,2,1976-10,3.0822222222222218,10.2,0.0,None,0
1976-10-19,1976.0,3,1976-10,2.14888888888889,9.266666666666667,0.0,None,0
1976-10-19,1976.0,4,1976-10,-0.7677777777777779,6.35,0.0,None,0
1976-10-19,1976.0,5,1976-10,-0.2844444444444445,6.833333333333333,0.0,None,0
1976-10-19,1976.0,6,1976-10,0.2222222222222232,7.340000000000001,0.0,None,0
1976-10-19,1976.0,7,1976-10,-0.977777777777777,6.140000000000001,0.0,None,0
1976-10-19,1976.0,8,1976-10,-0.6177777777777775,6.5,0.0,None,0
1976-10-19,1976.0,9,1976-10,-2.267777777777778,4.85,0.0,None,0
1976-10-19,1976.0,10,1976-10,-1.884444444444444,5.233333333333333,0.0,None,0
1976-10-19,1976.0,11,1976-10,-0.8177777777777768,6.300000000000001,0.0,None,0
1976-10-19,1976.0,12,1976-10,1.115555555555555,8.233333333333333,0.0,None,0
1976-11-16,1976.0,1,1976-11,1.0107407407407392,8.166666666666666,0.0,None,0
1976-11-16,1976.0,2,1976-11,3.0440740740740724,10.2,0.0,None,0
1976-11-16,1976.0,3,1976-11,2.177407407407407,9.333333333333334,0.0,None,0
1976-11-16,1976.0,4,1976-11,-0.7559259259259266,6.4,0.0,None,0
1976-11-16,1976.0,5,1976-11,-0.2725925925925931,6.883333333333334,0.0,None,0
1976-11-16,1976.0,6,1976-11,0.2840740740740735,7.44,0.0,None,0
1976-11-16,1976.0,7,1976-11,-1.0359259259259268,6.12,0.0,None,0
1976-11-16,1976.0,8,1976-11,-0.6059259259259271,6.55,0.0,None,0
1976-11-16,1976.0,9,1976-11,-2.2559259259259266,4.9,0.0,None,0
1976-11-16,1976.0,10,1976-11,-1.855925925925927,5.3,0.0,None,0
1976-11-16,1976.0,11,1976-11,-0.8559259259259262,6.300000000000001,0.0,None,0
1976-11-16,1976.0,12,1976-11,1.1218518518518517,8.277777777777779,0.0,None,0
1976-12-21,1976.0,1,1976-12,1.0143055555555556,8.183333333333334,0.0,None,0
1976-12-21,1976.0,2,1976-12,2.9309722222222216,10.1,0.0,None,0
1976-12-21,1976.0,3,1976-12,2.197638888888889,9.366666666666667,0.0,None,0
1976-12-21,1976.0,4,1976-12,-0.8190277777777784,6.35,0.0,None,0
1976-12-21,1976.0,5,1976-12,-0.2356944444444444,6.933333333333334,0.0,None,0
1976-12-21,1976.0,6,1976-12,0.3509722222222216,7.52,0.0,None,0
1976-12-21,1976.0,7,1976-12,-1.0690277777777784,6.1,0.0,None,0
1976-12-21,1976.0,8,1976-12,-0.6190277777777782,6.55,0.0,None,0
1976-12-21,1976.0,9,1976-12,-2.1940277777777784,4.975,0.0,None,0
1976-12-21,1976.0,10,1976-12,-1.852361111111112,5.316666666666666,0.0,None,0
1976-12-21,1976.0,11,1976-12,-0.8690277777777782,6.3,0.0,None,0
1976-12-21,1976.0,12,1976-12,1.164305555555556,8.333333333333334,0.0,None,0
1977-01-18,1977.0,1,1977-01,0.98287037037037,8.133333333333333,0.0,None,0
1977-01-18,1977.0,2,1977-01,2.949537037037037,10.1,0.0,None,0
1977-01-18,1977.0,3,1977-01,2.182870370370371,9.333333333333334,0.0,None,0
1977-01-18,1977.0,4,1977-01,-0.850462962962963,6.3,0.0,None,0
1977-01-18,1977.0,5,1977-01,-0.2171296296296292,6.933333333333334,0.0,None,0
1977-01-18,1977.0,6,1977-01,0.4095370370370368,7.56,0.0,None,0
1977-01-18,1977.0,7,1977-01,-1.1104629629629628,6.04,0.0,None,0
1977-01-18,1977.0,8,1977-01,-0.6504629629629628,6.5,0.0,None,0
1977-01-18,1977.0,9,1977-01,-2.150462962962963,5.0,0.0,None,0
1977-01-18,1977.0,10,1977-01,-1.8337962962962964,5.316666666666666,0.0,None,0
1977-01-18,1977.0,11,1977-01,-0.850462962962963,6.3,0.0,None,0
1977-01-18,1977.0,12,1977-01,1.138425925925925,8.288888888888888,1.0,Tighter,0
1977-02-15,1977.0,1,1977-02,0.9598148148148152,8.066666666666666,0.0,None,0
1977-02-15,1977.0,2,1977-02,2.893148148148149,10.0,0.0,None,0
1977-02-15,1977.0,3,1977-02,2.159814814814814,9.266666666666666,0.0,None,0
1977-02-15,1977.0,4,1977-02,-0.9068518518518518,6.199999999999999,0.0,None,0
1977-02-15,1977.0,5,1977-02,-0.1735185185185175,6.933333333333334,0.0,None,0
1977-02-15,1977.0,6,1977-02,0.4531481481481485,7.56,0.0,None,0
1977-02-15,1977.0,7,1977-02,-1.106851851851851,6.0,0.0,None,0
1977-02-15,1977.0,8,1977-02,-0.6568518518518518,6.449999999999999,0.0,None,0
1977-02-15,1977.0,9,1977-02,-2.106851851851851,5.0,0.0,None,0
1977-02-15,1977.0,10,1977-02,-1.8235185185185177,5.283333333333333,0.0,None,0
1977-02-15,1977.0,11,1977-02,-0.8068518518518513,6.3,0.0,None,0
1977-02-15,1977.0,12,1977-02,1.1153703703703703,8.222222222222221,0.0,None,0
1977-03-15,1977.0,1,1977-03,0.8904166666666642,7.899999999999999,0.0,None,0
1977-03-15,1977.0,2,1977-03,2.7904166666666663,9.8,0.0,None,0
1977-03-15,1977.0,3,1977-03,2.0904166666666653,9.1,0.0,None,0
1977-03-15,1977.0,4,1977-03,-0.9595833333333346,6.05,0.0,None,0
1977-03-15,1977.0,5,1977-03,-0.1429166666666672,6.866666666666667,0.0,None,0
1977-03-15,1977.0,6,1977-03,0.4904166666666656,7.5,0.0,None,0
1977-03-15,1977.0,7,1977-03,-1.069583333333334,5.94,0.0,None,0
1977-03-15,1977.0,8,1977-03,-0.609583333333334,6.4,0.0,None,0
1977-03-15,1977.0,9,1977-03,-2.0345833333333347,4.975,0.0,None,0
1977-03-15,1977.0,10,1977-03,-1.776250000000001,5.233333333333333,0.0,None,0
1977-03-15,1977.0,11,1977-03,-0.7595833333333344,6.25,0.0,None,0
1977-03-15,1977.0,12,1977-03,1.090416666666667,8.100000000000001,0.0,None,0
1977-04-19,1977.0,1,1977-04,0.8779629629629628,7.766666666666667,0.0,None,0
1977-04-19,1977.0,2,1977-04,2.711296296296296,9.6,0.0,None,0
1977-04-19,1977.0,3,1977-04,1.9779629629629636,8.866666666666667,0.0,None,0
