date,speaker,district,unemployment_discussion_score,unemployment_rate,num_turns
2007-05-09,PLOSSER,Philadelphia,0.2577695091783683,5.533261712298875,1548
2007-05-09,POOLE,St. Louis,0.34999288542454127,5.533261712298875,1290
2007-05-09,STERN,Minneapolis,0.2723944420158799,5.533261712298875,3096
2007-05-09,YELLEN,San Francisco,0.3465246928137462,5.533261712298875,774
2007-06-28,DUDLEY,New York,0.23989222911864735,5.061679849847971,2610
2007-06-28,FISHER,Dallas,0.17086988072017187,5.061679849847971,8352
2007-06-28,GEITHNER,New York,0.17860948197446797,5.061679849847971,12528
2007-06-28,HOENIG,Kansas City,0.17239355949962276,5.061679849847971,6786
2007-06-28,LACKER,Richmond,0.19923552327588695,5.061679849847971,9396
2007-06-28,LOCKHART,Atlanta,0.22311369956395366,5.061679849847971,4698
2007-06-28,MINEHAN,Boston,0.18179261393484386,5.061679849847971,12528
2007-06-28,MOSKOW,Chicago,0.23714463199426225,5.061679849847971,6264
2007-06-28,PIANALTO,Cleveland,0.23252423086138566,5.061679849847971,3132
2007-06-28,PLOSSER,Philadelphia,0.23286226109369587,5.061679849847971,4698
2007-06-28,POOLE,St. Louis,0.22309083428585194,5.061679849847971,4698
2007-06-28,STERN,Minneapolis,0.25489017679843085,5.061679849847971,4698
2007-06-28,YELLEN,San Francisco,0.23092639104782567,5.061679849847971,3915
2007-08-07,DUDLEY,New York,0.22867231114409134,3.7959130498288034,1694
2007-08-07,FISHER,Dallas,0.2293293884447095,3.7959130498288034,2178
2007-08-07,GEITHNER,New York,0.2884725836023194,3.7959130498288034,968
2007-08-07,HOENIG,Kansas City,0.3186749116843008,3.7959130498288034,726
2007-08-07,LACKER,Richmond,0.2517744436481338,3.7959130498288034,2662
2007-08-07,LOCKHART,Atlanta,0.3014120437381433,3.7959130498288034,1452
2007-08-07,MOSKOW,Chicago,0.20402803752239543,3.7959130498288034,1694
2007-08-07,PIANALTO,Cleveland,0.34243996089764367,3.7959130498288034,484
2007-08-07,PLOSSER,Philadelphia,0.23831787421822867,3.7959130498288034,1694
2007-08-07,POOLE,St. Louis,0.30191378284018183,3.7959130498288034,726
2007-08-07,ROSENGREN,Boston,0.3341712507878272,3.7959130498288034,726
2007-08-07,STERN,Minneapolis,0.34667656755080517,3.7959130498288034,726
2007-08-07,YELLEN,San Francisco,0.3431463765331153,3.7959130498288034,726
2007-09-18,DUDLEY,New York,0.24195819096059593,4.120331636633855,9982
2007-09-18,EVANS,Chicago,0.2485472349429791,4.120331636633855,3038
2007-09-18,FISHER,Dallas,0.17924112963775565,4.120331636633855,9982
2007-09-18,GEITHNER,New York,0.19982082407691662,4.120331636633855,6944
2007-09-18,HOENIG,Kansas City,0.2688925325767227,4.120331636633855,1736
2007-09-18,LACKER,Richmond,0.20217858415302142,4.120331636633855,6076
2007-09-18,LOCKHART,Atlanta,0.26654275399426836,4.120331636633855,1953
2007-09-18,PIANALTO,Cleveland,0.3068384791825684,4.120331636633855,1302
2007-09-18,PLOSSER,Philadelphia,0.27847944293819465,4.120331636633855,4340
2007-09-18,POOLE,St. Louis,0.22737845404311666,4.120331636633855,4774
2007-09-18,ROSENGREN,Boston,0.20826385481441914,4.120331636633855,3472
2007-09-18,STERN,Minneapolis,0.24454392638075684,4.120331636633855,3255
2007-09-18,YELLEN,San Francisco,0.29626263536081265,4.120331636633855,1953
2007-10-31,DUDLEY,New York,0.26018195755222273,5.197335400348567,1870
2007-10-31,EVANS,Chicago,0.3109812602169625,5.197335400348567,1496
2007-10-31,FISHER,Dallas,0.2649984762487525,5.197335400348567,5236
2007-10-31,GEITHNER,New York,0.2181409751947032,5.197335400348567,8602
2007-10-31,HOENIG,Kansas City,0.18682116567008555,5.197335400348567,3740
2007-10-31,LACKER,Richmond,0.29925139072352086,5.197335400348567,4488
2007-10-31,LOCKHART,Atlanta,0.21227074315970754,5.197335400348567,3927
2007-10-31,PIANALTO,Cleveland,0.3637799982209068,5.197335400348567,748
2007-10-31,PLOSSER,Philadelphia,0.24048817324268962,5.197335400348567,4488
2007-10-31,POOLE,St. Louis,0.1833439476910837,5.197335400348567,4862
2007-10-31,ROSENGREN,Boston,0.2859273621272286,5.197335400348567,2244
2007-10-31,STERN,Minneapolis,0.2898723431524529,5.197335400348567,2805
2007-10-31,YELLEN,San Francisco,0.27622816495587993,5.197335400348567,1683
2007-12-11,DUDLEY,New York,0.2574247118022299,5.764936764313051,1488
2007-12-11,EVANS,Chicago,0.3226666450837271,5.764936764313051,1240
2007-12-11,FISHER,Dallas,0.17503459402844138,5.764936764313051,2232
2007-12-11,GEITHNER,New York,0.2305203544308705,5.764936764313051,1984
2007-12-11,HOENIG,Kansas City,0.32490040156526867,5.764936764313051,1240
2007-12-11,LACKER,Richmond,0.37643041803580096,5.764936764313051,744
2007-12-11,LOCKHART,Atlanta,0.28962964887295445,5.764936764313051,1116
2007-12-11,PIANALTO,Cleveland,0.3806853456916016,5.764936764313051,496
2007-12-11,PLOSSER,Philadelphia,0.27523947373240537,5.764936764313051,1736
2007-12-11,POOLE,St. Louis,0.2618702706521039,5.764936764313051,2480
2007-12-11,ROSENGREN,Boston,0.4075672938287719,5.764936764313051,496
2007-12-11,STERN,Minneapolis,0.3518666393862792,5.764936764313051,1116
2007-12-11,YELLEN,San Francisco,0.22080434030405807,5.764936764313051,2976
2008-01-30,DUDLEY,New York,0.21478459829348312,5.833102935287477,7840
2008-01-30,EVANS,Chicago,0.2361234834329279,5.833102935287477,5600
2008-01-30,FISHER,Dallas,0.21964091254401932,5.833102935287477,6160
2008-01-30,GEITHNER,New York,0.2216798181683911,5.833102935287477,14560
2008-01-30,HOENIG,Kansas City,0.23488183143862684,5.833102935287477,4480
2008-01-30,LACKER,Richmond,0.2285247344632725,5.833102935287477,15680
2008-01-30,LOCKHART,Atlanta,0.26918253311411827,5.833102935287477,5040
2008-01-30,PIANALTO,Cleveland,0.3663385080978077,5.833102935287477,1120
2008-01-30,PLOSSER,Philadelphia,0.241881058497603,5.833102935287477,7840
2008-01-30,POOLE,St. Louis,0.19618760809773958,5.833102935287477,11200
2008-01-30,ROSENGREN,Boston,0.2717863003409258,5.833102935287477,4480
2008-01-30,STERN,Minneapolis,0.3662750018278691,5.833102935287477,2520
2008-01-30,YELLEN,San Francisco,0.23516937458388681,5.833102935287477,8400
2008-03-18,DUDLEY,New York,0.20546190373691026,4.512732035888973,3146
2008-03-18,EVANS,Chicago,0.2809546421229925,4.512732035888973,1694
2008-03-18,FISHER,Dallas,0.24514196896405485,4.512732035888973,4114
2008-03-18,GEITHNER,New York,0.21756388922924177,4.512732035888973,3872
2008-03-18,HOENIG,Kansas City,0.260385551362132,4.512732035888973,968
2008-03-18,LACKER,Richmond,0.2720959120316492,4.512732035888973,1452
2008-03-18,LOCKHART,Atlanta,0.2833384609197949,4.512732035888973,1089
2008-03-18,PIANALTO,Cleveland,0.3638488755571986,4.512732035888973,484
2008-03-18,PLOSSER,Philadelphia,0.3235453429680016,4.512732035888973,968
2008-03-18,ROSENGREN,Boston,0.3583363759067371,4.512732035888973,726
2008-03-18,STERN,Minneapolis,0.2976777646737711,4.512732035888973,726
2008-03-18,YELLEN,San Francisco,0.346678380921608,4.512732035888973,726
2008-04-30,BULLARD,St. Louis,0.2872039004106538,5.13015385483669,3456
2008-04-30,DUDLEY,New York,0.22666956276007091,5.13015385483669,9504
2008-04-30,EVANS,Chicago,0.2510716580630901,5.13015385483669,3888
2008-04-30,FISHER,Dallas,0.21218519033451816,5.13015385483669,7344
2008-04-30,GEITHNER,New York,0.2185660785268035,5.13015385483669,5184
2008-04-30,HOENIG,Kansas City,0.22115612821216651,5.13015385483669,2592
2008-04-30,LACKER,Richmond,0.26516919539772077,5.13015385483669,3888
2008-04-30,LOCKHART,Atlanta,0.2761259359093985,5.13015385483669,2592
2008-04-30,PIANALTO,Cleveland,0.3022562072502725,5.13015385483669,1296
2008-04-30,PLOSSER,Philadelphia,0.22306642211699318,5.13015385483669,3888
2008-04-30,ROSENGREN,Boston,0.30681906265001496,5.13015385483669,1728
2008-04-30,STERN,Minneapolis,0.2684538819436838,5.13015385483669,5184
2008-04-30,YELLEN,San Francisco,0.3266302875780982,5.13015385483669,3240
2008-06-25,BULLARD,St. Louis,0.2975371426562788,6.267651511187974,2472
2008-06-25,DUDLEY,New York,0.2192037252821647,6.267651511187974,6180
2008-06-25,EVANS,Chicago,0.3119751708176457,6.267651511187974,2060
2008-06-25,FISHER,Dallas,0.2195370551438081,6.267651511187974,8240
2008-06-25,GEITHNER,New York,0.220985180747648,6.267651511187974,6592
2008-06-25,HOENIG,Kansas City,0.2409791793516384,6.267651511187974,2060
2008-06-25,LACKER,Richmond,0.2092153610404318,6.267651511187974,12360
2008-06-25,LOCKHART,Atlanta,0.27566321646371844,6.267651511187974,1854
2008-06-25,PIANALTO,Cleveland,0.30493374033056087,6.267651511187974,1236
2008-06-25,PLOSSER,Philadelphia,0.22985975128898897,6.267651511187974,4944
2008-06-25,ROSENGREN,Boston,0.24682721631631058,6.267651511187974,3296
2008-06-25,STERN,Minneapolis,0.2427934907650408,6.267651511187974,2472
2008-06-25,YELLEN,San Francisco,0.28499205651128134,6.267651511187974,1854
2008-08-05,BULLARD,St. Louis,0.3399280702843388,5.4601829811451115,780
2008-08-05,DUDLEY,New York,0.27437033258471294,5.4601829811451115,3380
2008-08-05,EVANS,Chicago,0.2832529973584495,5.4601829811451115,2340
