,Voter_transcript,date,Attendance_transcript,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters
113,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20080318_voters.csv,20080318,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20080318_att.csv,56,48,8,0.8571428571428571,0.1428571428571428,46,1,9,0,0,10,0.1,0.9,0,,
114,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20080430_voters.csv,20080430,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20080430_att.csv,74,57,17,0.7702702702702703,0.2297297297297297,64,1,9,0,0,10,0.1,0.9,0,,
115,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20080625_voters.csv,20080625,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20080625_att.csv,73,57,16,0.7808219178082192,0.2191780821917808,63,1,9,0,0,10,0.1,0.9,0,,
116,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20080805_voters.csv,20080805,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20080805_att.csv,55,46,9,0.8363636363636363,0.1636363636363636,44,2,9,0,0,11,0.18181818181818182,0.8181818181818182,0,,
117,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20080916_voters.csv,20080916,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20080916_att.csv,56,48,8,0.8571428571428571,0.1428571428571428,46,3,7,0,0,10,0.3,0.7,0,,
118,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20081029_voters.csv,20081029,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20081029_att.csv,62,51,11,0.8225806451612904,0.1774193548387097,52,2,8,0,0,10,0.2,0.8,0,,
119,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20081216_voters.csv,20081216,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20081216_att.csv,61,49,12,0.8032786885245902,0.1967213114754098,51,3,7,0,0,10,0.3,0.7,0,,
120,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090128_voters.csv,20090128,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090128_att.csv,69,51,17,0.7391304347826086,0.2463768115942029,60,2,7,0,1,9,0.2222222222222222,0.7777777777777778,1,0.0,1.0
121,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090318_voters.csv,20090318,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090318_att.csv,63,51,11,0.8095238095238095,0.1746031746031746,53,2,8,0,1,10,0.2,0.8,1,0.0,1.0
122,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090429_voters.csv,20090429,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090429_att.csv,64,50,13,0.78125,0.203125,54,2,8,0,1,10,0.2,0.8,1,0.0,1.0
123,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090624_voters.csv,20090624,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090624_att.csv,69,57,12,0.8260869565217391,0.1739130434782608,59,2,8,0,0,10,0.2,0.8,0,,
