,speaker,date,speak_count,speaker_unique,speak_length
305,CHAIRMAN GREENSPANA,19950328,1,GREENSPANA,191
306,MR MCTEER,19950328,4,MCTEER,2339
307,MR BOEHNE,19950328,3,BOEHNE,2831
308,MR FORRESTAL,19950328,3,FORRESTAL,5986
309,MR STERN,19950328,4,STERN,4536
310,MR MELZER,19950328,2,MELZER,5651
311,CHAIRMAN GREEN PAN,19950328,1,PAN,50
312,MS PHILLIPS,19950328,2,PHILLIPS,3956
313,MS YELLEN,19950328,2,YELLEN,4977
314,MR BERNARD,19950328,1,BERNARD,632
315,MR BERNARDC,19950328,1,BERNARDC,244
316,CHAIRMAN GREENSPAN,19950523,81,GREENSPAN,17806
317,MS MINEHAN,19950523,13,MINEHAN,6490
318,MR FISHER,19950523,15,FISHER,5337
319,MS PHILLIPS,19950523,6,PHILLIPS,3833
320,MR KOHN,19950523,8,KOHN,1251
321,MR FORRESTAL,19950523,3,FORRESTAL,3848
322,MR BLINDER,19950523,12,BLINDER,6490
323,MR KELLEY,19950523,4,KELLEY,1612
324,MR MCTEER,19950523,3,MCTEER,2738
325,VICE CHAIRMAN MCDONOUGH,19950523,7,MCDONOUGH,4014
326,MR PRELL,19950523,14,PRELL,6932
327,MR MOSKOW,19950523,4,MOSKOW,5450
328,MR PARRY,19950523,4,PARRY,3542
329,MR TRUMAN,19950523,2,TRUMAN,3122
330,MR JORDAN,19950523,3,JORDAN,8844
331,MR STOCKTON,19950523,1,STOCKTON,300
332,MR BROADDUS,19950523,2,BROADDUS,5944
333,MR BOEHNE,19950523,2,BOEHNE,1669
334,MR HOENIG,19950523,2,HOENIG,2620
335,MR STERN,19950523,2,STERN,2404
336,MR MELZER,19950523,2,MELZER,3866
337,MR LINDSEY,19950523,6,LINDSEY,6433
338,MS YELLEN,19950523,2,YELLEN,5416
339,COFFEE BREAKMR KOHN,19950523,1,KOHN,25
340,MR BERNARD,19950523,3,BERNARD,692
341,MR BERNARDC,19950523,1,BERNARDC,245
342,MR BERNARD,19950706,6,BERNARD,963
343,CHAIRMAN GREENSPAN,19950706,131,GREENSPAN,32802
344,MR BLINDER,19950706,18,BLINDER,18811
345,MR FISHER,19950706,15,FISHER,4492
346,MR LINDSEY,19950706,19,LINDSEY,9950
347,MR JORDAN,19950706,21,JORDAN,18632
348,MR TRUMAN,19950706,12,TRUMAN,754
349,MR KOHN,19950706,28,KOHN,7482
350,MS MINEHAN,19950706,10,MINEHAN,8427
351,VICE CHAIRMAN MCDONOUGH,19950706,10,MCDONOUGH,8790
352,MR MELZER,19950706,7,MELZER,8741
353,MR MCDONOUGH,19950706,3,MCDONOUGH,58
354,MR MOSKOW,19950706,9,MOSKOW,8812
355,MR BROADDUS,19950706,7,BROADDUS,12709
356,MR SIMPSON,19950706,6,SIMPSON,1162
357,MS JOHNSON,19950706,3,JOHNSON,4178
358,MR PARRY,19950706,10,PARRY,6553
359,MR PRELL,19950706,13,PRELL,5490
360,MR BOEHNE,19950706,3,BOEHNE,4192
361,MR FORRESTAL,19950706,3,FORRESTAL,9057
362,MR HOENIG,19950706,3,HOENIG,4801
363,MR MCTEER,19950706,5,MCTEER,4308
364,CHAIRMAN GREENSP,19950706,1,GREENSP,28
365,MR STERN,19950706,5,STERN,7378
366,MR KELLEY,19950706,3,KELLEY,5928
367,MS PHILLIPS,19950706,3,PHILLIPS,4156
368,MS YELLEN,19950706,9,YELLEN,13798
369,MR MOSKOW,19950706,1,MOSCOW,8812
370,GDPCHAIRMAN GREENSPAN,19950706,1,GREENSPAN,62
371,MR BERNARDC,19950706,3,BERNARDC,731
372,CHAIRMAN GREENSPAN,19950706,1,GREENSPAN,32802
373,CHAIRMAN GREENSPANY,19950706,1,GREENSPANY,64
374,MR LINDSEY MS MINEHAN MR LINDSEY MS MINEHANI,19950706,1,MINEHANI,137
375,MR COYNE,19950706,1,COYNE,7
376,CHAIRMAN GREENSPAN,19950822,70,GREENSPAN,15454
377,MR BOEHNE,19950822,3,BOEHNE,1522
378,MR BROADDUS,19950822,4,BROADDUS,5034
379,MS MINEHAN,19950822,15,MINEHAN,7497
380,MR LINDSEY,19950822,8,LINDSEY,10290
381,VICE CHAIRMAN MCDONOUGH,19950822,6,MCDONOUGH,4787
382,MR FISHER,19950822,6,FISHER,2080
383,MR SIEGMAN,19950822,4,SIEGMAN,1014
384,IMR KELLEY,19950822,1,KELLEY,6
385,MR KELLEY,19950822,3,KELLEY,3038
386,MR STOCKTON,19950822,14,STOCKTON,7709
387,MR KOHN,19950822,20,KOHN,7869
388,MR FORRESTAL,19950822,4,FORRESTAL,4188
389,MR PARRY,19950822,9,PARRY,3185
390,MR STERN,19950822,4,STERN,2871
391,MR SLIFMAN,19950822,4,SLIFMAN,1049
392,MR BLINDER,19950822,11,BLINDER,6799
393,MR MOSKOW,19950822,5,MOSKOW,6159
394,MR HOENIG,19950822,3,HOENIG,3089
395,MR MCTEER,19950822,1,MCTEER,1850
396,MR MELZER,19950822,7,MELZER,5522
397,MR JORDAN,19950822,3,JORDAN,5349
398,MS PHILLIPS,19950822,2,PHILLIPS,4080
399,MS YELLEN,19950822,2,YELLEN,3207
400,MR BERNARD,19950822,2,BERNARD,640
401,ICHAIRMAN GREENSPAN,19950822,1,GREENSPAN,100
402,MR BERNARDC,19950822,1,BERNARDC,245
403,CHAIRMAN GREENSPAN,19950926,99,GREENSPAN,14646
404,MS MINEHAN,19950926,13,MINEHAN,8287
405,MR FISHER,19950926,16,FISHER,4942
406,MR LINDSEY,19950926,10,LINDSEY,7581
407,MR TRUMAN,19950926,6,TRUMAN,2267
408,MS PHILLIPS,19950926,10,PHILLIPS,5555
409,MR KOHN,19950926,7,KOHN,6063
410,MR JORDAN,19950926,6,JORDAN,9167
411,MR PRELL,19950926,15,PRELL,9114
412,MR PARRY,19950926,7,PARRY,4855
413,MR STOCKTON,19950926,2,STOCKTON,404
414,MR STERN,19950926,6,STERN,2268
415,VICE CHAIRMAN MCDONOUGH,19950926,16,MCDONOUGH,9391
416,MR BLINDER,19950926,13,BLINDER,11867
417,MS YELLEN,19950926,5,YELLEN,7830
418,MR MOSKOW,19950926,5,MOSKOW,8068
419,MR BROADDUS,19950926,4,BROADDUS,6911
420,MR FORRESTAL,19950926,3,FORRESTAL,7404
421,MR BOEHNE,19950926,6,BOEHNE,4258
422,MR HOENIG,19950926,3,HOENIG,3770
423,MR MCTEER,19950926,4,MCTEER,4516
424,MR MELZER,19950926,5,MELZER,10118
425,MR KELLEY,19950926,5,KELLEY,3671
426,MR BERNARD,19950926,1,BERNARD,627
427,MR BERNARDC,19950926,1,BERNARDC,238
428,MR WINN,19950926,4,WINN,2721
429,CHAIRMAN GREENSPAN,19951115,102,GREENSPAN,16569
430,MS MINEHAN,19951115,18,MINEHAN,9400
431,MR KELLEY,19951115,5,KELLEY,3618
432,MR FISHER,19951115,37,FISHER,10156
433,MR KOHN,19951115,21,KOHN,4506
434,MR LINDSEY,19951115,14,LINDSEY,12331
435,MR TRUMAN,19951115,6,TRUMAN,3367
436,MR JORDAN,19951115,7,JORDAN,11598
437,VICE CHAIRMAN MCDONOUGH,19951115,6,MCDONOUGH,8321
438,MR BLINDER,19951115,34,BLINDER,11722
439,MS KRIEGER,19951115,3,KRIEGER,622
440,MR HOENIG,19951115,4,HOENIG,4079
441,MR MELZER,19951115,3,MELZER,6532
442,MR BROADDUS,19951115,4,BROADDUS,6348
443,MR PRELL,19951115,24,PRELL,11902
444,MR PARRY,19951115,10,PARRY,5458
445,PCEMR PRELL,19951115,1,PRELL,162
446,MR STOCKTON,19951115,1,STOCKTON,256
447,MR FORRESTAL,19951115,4,FORRESTAL,4551
448,MR BOEHNE,19951115,2,BOEHNE,2456
449,MR MOSKOW,19951115,2,MOSKOW,5642
450,MR STERN,19951115,3,STERN,3509
451,MR MCTEER,19951115,1,MCTEER,2786
452,MS PHILLIPS,19951115,3,PHILLIPS,3487
453,MS YELLEN,19951115,3,YELLEN,8311
454,CHAIRMAN GREENSPAN MR MCTEER,19951115,1,MCTEER,21
455,MR BERNARD,19951115,1,BERNARD,632
456,MR BERNARDC,19951115,1,BERNARDC,244
457,CHAIRMAN GREENSPAN,19951219,72,GREENSPAN,22402
458,MR GUYNN,19951219,3,GUYNN,3326
459,VICE CHAIRMAN MCDONOUGH,19951219,10,MCDONOUGH,7055
460,MR FISHER,19951219,10,FISHER,2129
461,MR LINDSEY,19951219,16,LINDSEY,10093
462,MR TRUMAN,19951219,17,TRUMAN,5930
463,MS MINEHAN,19951219,15,MINEHAN,7053
464,MR MELZER,19951219,6,MELZER,9086
465,MR BROADDUS,19951219,6,BROADDUS,7391
466,MR KOHN,19951219,15,KOHN,10411
467,MR BLINDER,19951219,10,BLINDER,10309
468,MR KELLEY,19951219,3,KELLEY,3594
469,MR PRELL,19951219,6,PRELL,2031
470,MR MOSKOW,19951219,3,MOSKOW,6312
471,MR STOCKTON,19951219,1,STOCKTON,74
472,PRESIDENT BOEHNE,19951219,1,BOEHNE,2626
473,MR PARRY,19951219,3,PARRY,4121
474,MR STERN,19951219,3,STERN,4953
475,MR MCTEER,19951219,2,MCTEER,2023
476,MR HOENIG,19951219,2,HOENIG,3285
477,MS YELLEN,19951219,2,YELLEN,6499
478,MS PHILLIPS,19951219,2,PHILLIPS,6073
479,MR JORDAN,19951219,5,JORDAN,7367
480,MR BOEHNE,19951219,1,BOEHNE,2192
481,MR BERNARD,19951219,1,BERNARD,643
482,MR BERNARDC,19951219,1,BERNARDC,244
483,RMAN GREENSPAN,19960131,2,GREENSPAN,150
484,MR KELLEY,19960131,16,KELLEY,4415
485,MS PHILLIPS,19960131,5,PHILLIPS,6780
486,MR MCTEER,19960131,6,MCTEER,7104
487,CHAIRMAN GREENSPAN,19960131,120,GREENSPAN,26252
488,MR BERNARD,19960131,8,BERNARD,2625
489,MR FISHER,19960131,7,FISHER,1751
490,VICE CHAIRMAN MCDONOUGH,19960131,6,MCDONOUGH,7683
491,MR TRUMAN,19960131,3,TRUMAN,605
492,MR MELZER,19960131,8,MELZER,13270
493,MR KOHN,19960131,15,KOHN,7288
494,MR PRELL,19960131,15,PRELL,7583
495,MR SLIFMAN,19960131,1,SLIFMAN,25
496,MR STOCKTON,19960131,5,STOCKTON,1687
497,MR PARRY,19960131,17,PARRY,7544
498,MR BROADDUS,19960131,13,BROADDUS,12899
499,MS MINEHAN,19960131,17,MINEHAN,10933
500,MR STERN,19960131,8,STERN,7556
501,MR MOSKOW,19960131,8,MOSKOW,11393
502,MR JORDAN,19960131,7,JORDAN,13579
503,MR LINDSEY,19960131,10,LINDSEY,10125
504,MR BOEHNE,19960131,5,BOEHNE,5082
505,MR HOENIG,19960131,4,HOENIG,4338
506,MR GUYNN,19960131,3,GUYNN,5339
507,MS YELLEN,19960131,5,YELLEN,15049
508,ICHAIRMAN GREENSPAN,19960131,4,GREENSPAN,93
509,MR BERNARDC,19960131,1,BERNARDC,216
510,EMR MOSKOW,19960131,1,MOSKOW,102
511,CHAIRMAN GREENSPAN,19960326,55,GREENSPAN,12561
512,MR FISHER,19960326,1,FISHER,35
513,VICE CHAIRMAN MCDONOUGH,19960326,4,MCDONOUGH,3082
514,MR LINDSEY,19960326,8,LINDSEY,4427
515,MR PRELL,19960326,12,PRELL,3764
516,MR HOENIG,19960326,4,HOENIG,2459
517,MR PARRY,19960326,6,PARRY,4585
