date,year,month,quarter,speaker,position,short_name,greeting,briefer_dummy,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent.Male.Att,Percent.Female.Att,ATT.NOT.VOTERS,Female.Voters,Male.Voters,Female.NON.Voters,Male.NON.Voters,Number.of.Voters,percent_fem_voter,percent_male_voter,Number.of.NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total.Voters,voter_dummy,fin_crisis,econ_crisis,target_upper,target_lower,target_mid,chair,b1_dummy,b2_dummy,b3_dummy,b4_dummy,fem_dummy,pol_dummy,epu,mpu,shawdow_i_rate
11/3/2010,2010,11,4,mr rosengren,president,rosengren,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,3,5804,78.33333333,1,1,0,0,5,8,0.056565775,0.105262929,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr bullard,president,bullard,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,15,18053,336.7333333,1,1,3,0,6,30,0.056565775,0.137887126,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr reifschneider,senior associate director,reifschneider,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,7,3007,313.7142857,1,1,1,0,6,3,0.056565775,0.040490448,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,0,0,0,1,0,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr evans,president,evans,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,18,15519,813.9444444,1,5,5,2,5,21,0.056565775,0.075932313,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,ms duke,governor,duke,Ms,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,7,12708,207.7142857,1,1,4,1,5,15,0.056565775,0.128667384,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr tarullo,governor,tarullo,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,7,14700,87,1,3,2,0,6,21,0.056565775,-0.019716149,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,vice chairman dudley,vice chairman,dudley,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,11,14766,697.3636364,1,0,2,0,6,17,0.056565775,-0.037708985,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr hoenig,president,hoenig,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,4,11158,41.75,1,0,1,0,5,8,0.056565775,0.069173549,1,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,ms raskin,governor,raskin,Ms,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,2,5746,4632.5,1,0,0,0,5,5,0.056565775,0.009107613,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,0,151.6407619,114.8108344,-0.956014191
12/14/2010,2010,12,4,ms raskin,governor,raskin,Ms,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,4,3226,3562.75,1,0,0,0,0,6,0.0679951,0.160646998,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,0,137.5047147,77.00285044,-0.884818633
