,Unnamed: 0,date,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speaker,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,short_name,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total Voters
59,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,vice chairman mcdonough,11.0,6821.0,440.27272727272725,0.9090909090909092,0.0,0.0,0.0,8.0,11.0,0.0426403505209941,-0.0676891277366035,mcdonough,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
60,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr mcteer,7.0,1782.0,495.0,1.0,2.0,0.0,0.0,7.0,3.0,0.0426403505209941,0.1144951093998872,mcteer,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
61,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr melzer,18.0,8683.0,103.88888888888889,1.0,0.0,0.0,0.0,8.0,25.0,0.0426403505209941,0.0711728153472635,melzer,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
62,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr parry,14.0,6219.0,161.92857142857142,0.9285714285714286,0.0,0.0,0.0,8.0,16.0,0.0426403505209941,0.0836864099307539,parry,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
63,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,ms phillips,10.0,4156.0,83.7,0.8,0.0,0.0,0.0,8.0,9.0,0.0426403505209941,0.0565840840840841,phillips,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
64,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr prell,38.0,16726.0,138.66666666666666,1.0,0.0,1.0,3.0,15.0,48.0,0.0426403505209941,0.1005029642107249,prell,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
65,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr stern,6.0,3628.0,71.16666666666667,1.0,0.0,0.0,0.0,8.0,7.0,0.0426403505209941,-0.0376748107250305,stern,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
66,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr stockton,1.0,32.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0426403505209941,0.0,stockton,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
67,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr syron,28.0,10104.0,235.07407407407408,0.925925925925926,0.0,0.0,4.0,8.0,17.0,0.0426403505209941,0.1261175418682547,syron,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
68,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr truman,4.0,1748.0,77.71428571428571,1.0,0.0,0.0,0.0,11.0,0.0,0.0426403505209941,0.110969387755102,truman,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
69,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr bernard,3.0,857.0,152.66666666666666,1.0,1.0,0.0,0.0,4.0,1.0,0.0440567609369017,0.0125490196078429,bernard,,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
70,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr bernardc,1.0,225.0,83.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0440567609369017,-0.0357142857142857,bernardc,,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
71,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr boehne,8.0,7173.0,561.5,1.0,1.0,0.0,0.0,4.0,11.0,0.0440567609369017,0.16556025423675,boehne,,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
72,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr broaddus,7.0,10555.0,212.8571428571429,1.0,0.0,0.0,0.0,1.0,17.0,0.0440567609369017,0.1156410004921929,broaddus,1.0,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
73,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr fisher,3.0,432.0,98.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0440567609369017,-0.0707070707070706,fisher,,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
74,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,mr forrestal,5.0,8104.0,371.2,1.0,0.0,0.0,0.0,4.0,6.0,0.0440567609369017,0.0840823585744578,forrestal,0.0,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
75,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,cchairman greenspan,1.0,16.0,269.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0440567609369017,0.0,greenspan,0.0,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
76,40,19940322,16,10,4,18,48,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.375,chairman greenspan,106.0,30623.0,1145.8666666666666,0.9142857142857144,1.0,2.0,3.0,6.0,26.0,0.0440567609369017,-0.005979086929943,greenspan,0.0,8.0,2.0,10.0,0.2,48.0,42.0,6.0,0.875,0.125,38.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
