,speaker,date,speak_count,speaker_unique
157,MS LOVETTA,19940927,1,LOVETTA
158,MR JORDAN,19940927,5,JORDAN
159,MR PRELL,19940927,16,PRELL
160,AN GREENSPAN,19940927,2,GREENSPAN
161,MR KOHN,19940927,4,KOHN
162,MS MINEHAN,19940927,8,MINEHAN
163,CHAIRMAN GREENSPAJ,19940927,1,GREENSPAJ
164,MR BOEHNE,19940927,2,BOEHNE
165,CBAIRMAN GREENSPAN,19940927,1,GREENSPAN
166,MR LINDSEY,19940927,6,LINDSEY
167,MR HOENIG,19940927,2,HOENIG
168,CHAIRMAN GREENSPA,19940927,1,GREENSPA
169,MR MOSKOW,19940927,3,MOSKOW
170,MR STERN,19940927,2,STERN
171,CHAIRMA GREENSPAN,19940927,1,GREENSPAN
172,MR KELLEY,19940927,3,KELLEY
173,MR LAWARE,19940927,2,LAWARE
174,MS YELLEN,19940927,2,YELLEN
175,MR BLINDERI,19940927,1,BLINDERI
176,MS PHILLIPS,19940927,3,PHILLIPS
177,DCHAIRMAN GREENSPAN,19940927,1,GREENSPAN
178,MR BERNARD,19940927,1,BERNARD
179,MR BERNARDC,19940927,1,BERNARDC
180,MR COYNE,19940927,1,COYNE
181,CHAIRMAN GREENSPAN,19941115,115,GREENSPAN
182,MR LINDSEY,19941115,19,LINDSEY
183,MS MINEHAN,19941115,19,MINEHAN
184,MR FISHER,19941115,14,FISHER
185,MR BROADDUS,19941115,7,BROADDUS
186,MR JORDAN,19941115,9,JORDAN
187,MS LOVETT,19941115,6,LOVETT
188,MR KOHN,19941115,10,KOHN
189,VICE CHAIRMAN MCDONOUGH,19941115,12,MCDONOUGH
190,MR PRELL,19941115,24,PRELL
191,MR BOEHNE,19941115,4,BOEHNE
192,MR PARRY,19941115,10,PARRY
193,MR BLINDER,19941115,8,BLINDER
194,MR STERN,19941115,6,STERN
195,MR FORRESTAL,19941115,3,FORRESTAL
196,MR MCTEER,19941115,2,MCTEER
197,MR HOENIG,19941115,4,HOENIG
198,MR MELZER,19941115,3,MELZER
199,MR MOSKOW,19941115,2,MOSKOW
200,MR LAWARE,19941115,5,LAWARE
201,MR KELLEY,19941115,5,KELLEY
202,MS PHILLIPS,19941115,3,PHILLIPS
203,MS YELLEN,19941115,2,YELLEN
204,SEVERAL MEMBERS,19941115,1,MEMBERS
205,MR BERNARD,19941115,2,BERNARD
206,MR BERNARDC,19941115,1,BERNARDC
207,CHAIRMAN GREENSPANMR TRUMAN,19941115,1,TRUMAN
208,MR TRUMAN,19941115,11,TRUMAN
209,CHAIRMAN GREENSPANI,19941115,1,GREENSPANI
210,MR MINEHAN,19941115,1,MINEHAN
211,CHAIRMAN GREENSPAN,19941220,68,GREENSPAN
212,VICE CHAIRMAN MCDONOUGH,19941220,8,MCDONOUGH
213,MR JORDAN,19941220,6,JORDAN
214,FOMCCHAIRMAN GREENSPAN,19941220,1,GREENSPAN
215,MR FISHER,19941220,2,FISHER
216,MS LOVETT,19941220,3,LOVETT
217,MS PHILLIPS,19941220,5,PHILLIPS
218,MR TRUMAN,19941220,4,TRUMAN
219,MR PRELL,19941220,14,PRELL
220,MR PARRY,19941220,3,PARRY
221,MR BLINDER,19941220,11,BLINDER
222,MR MCTEER,19941220,5,MCTEER
223,CHAIRMAN GREENSPANI,19941220,1,GREENSPANI
224,MS MINEHAN,19941220,5,MINEHAN
225,MR HOENIG,19941220,2,HOENIG
226,MR MOSKOW,19941220,2,MOSKOW
227,MR FORRESTAL,19941220,2,FORRESTAL
228,MR BROADDUS,19941220,3,BROADDUS
229,MR STERN,19941220,5,STERN
230,MR MELZER,19941220,5,MELZER
231,MR LANG,19941220,1,LANG
232,MR LINDSEY,19941220,5,LINDSEY
233,MR KELLEY,19941220,2,KELLEY
234,MR LAWARE,19941220,2,LAWARE
235,MS YELLEN,19941220,2,YELLEN
236,NAIRUCHAIRMAN GREENSPAN,19941220,1,GREENSPAN
237,MR BERNARD,19941220,3,BERNARD
238,MR KOHN,19941220,3,KOHN
239,MR BERNARDC,19941220,1,BERNARDC
240,CHAIRMAN GREENSPAN,19950201,269,GREENSPAN
241,MR BLINDER,19950201,115,BLINDER
242,MR KELLEY,19950201,20,KELLEY
243,MS MINEHAN,19950201,50,MINEHAN
244,MR BERNARD,19950201,6,BERNARD
245,VICE CHAIRMAN MCDONOUGH,19950201,36,MCDONOUGH
246,MR LINDSEY,19950201,45,LINDSEY
247,MR PARRY,19950201,19,PARRY
248,MR BROADDUS,19950201,14,BROADDUS
249,MR MELZER,19950201,52,MELZER
250,MR KOHN,19950201,22,KOHN
251,MR HOENIG,19950201,23,HOENIG
252,MR BOEHNE,19950201,15,BOEHNE
253,MR JORDAN,19950201,17,JORDAN
254,MS PHILLIPS,19950201,9,PHILLIPS
255,MS MINEHANT,19950201,1,MINEHANT
256,MR MOSKOW,19950201,14,MOSKOW
257,MR FORRESTAL,19950201,16,FORRESTAL
258,MR MATTINGLY,19950201,13,MATTINGLY
259,MR LAWARE,19950201,17,LAWARE
260,MR WINN,19950201,5,WINN
261,MR MCTEER,19950201,18,MCTEER
262,FOMCMR MCTEER,19950201,1,MCTEER
263,FOMCMS MINEHAN,19950201,1,MINEHAN
264,MR COYNE,19950201,6,COYNE
265,MS YELLEN,19950201,3,YELLEN
266,GOVERNOR YELLEN,19950201,1,YELLEN
267,PRESIDENT MINEHAN,19950201,1,MINEHAN
268,PRESIDENT MELZER,19950201,1,MELZER
269,MR STERN,19950201,4,STERN
270,MR TRUMAN,19950201,130,TRUMAN
271,ESFCHAIRMAN GREENSPAN,19950201,1,GREENSPAN
272,MR FISHER,19950201,17,FISHER
273,YMR LINDSEY,19950201,1,LINDSEY
274,MS MINEHAN,19950201,1,OTHERS
275,MR PRELL,19950201,12,PRELL
276,MR HOOPER,19950201,3,HOOPER
277,MR STOCKTON,19950201,1,STOCKTON
278,MR HOOPERM,19950201,1,HOOPERM
279,MR BERNARDC,19950201,4,BERNARDC
280,MR LINDSEYMR TRUMAN,19950201,1,TRUMAN
281,ESFMR LAWARE,19950201,1,LAWARE
282,MR MELZER SPEAKER,19950201,1,SPEAKER
283,MR TRUMANY,19950201,1,TRUMANY
284,MR TRUMANMS MINEHAN,19950201,2,MINEHAN
285,CHAIRMAN GREENSPANMR TRUMAN,19950201,1,TRUMAN
286,VICE CHAIRMAN,19950201,1,CHAIRMAN
287,GOVERNOR LAWARE,19950201,1,LAWARE
288,MR BERNARDG,19950201,1,BERNARDG
289,CHAIRMAN GREENSPAN,19950328,106,GREENSPAN
290,VICE CHAIRMAN MCDONOUGH,19950328,11,MCDONOUGH
291,MS MINEHAN,19950328,18,MINEHAN
292,MR KELLEY,19950328,4,KELLEY
293,MR MOSKOW,19950328,4,MOSKOW
294,MR HOENIG,19950328,5,HOENIG
295,MR KOHN,19950328,15,KOHN
296,MR JORDAN,19950328,14,JORDAN
297,MR PRELL,19950328,19,PRELL
298,IIMR KOHN,19950328,1,KOHN
299,MR LINDSEY,19950328,5,LINDSEY
300,MR TRUMAN,19950328,17,TRUMAN
301,MR BROADDUS,19950328,12,BROADDUS
302,MR FISHER,19950328,19,FISHER
303,MR PARRY,19950328,10,PARRY
304,MR BLINDER,19950328,16,BLINDER
305,CHAIRMAN GREENSPANA,19950328,1,GREENSPANA
306,MR MCTEER,19950328,4,MCTEER
307,MR BOEHNE,19950328,3,BOEHNE
308,MR FORRESTAL,19950328,3,FORRESTAL
309,MR STERN,19950328,4,STERN
310,MR MELZER,19950328,2,MELZER
311,CHAIRMAN GREEN PAN,19950328,1,PAN
312,MS PHILLIPS,19950328,2,PHILLIPS
313,MS YELLEN,19950328,2,YELLEN
314,MR BERNARD,19950328,1,BERNARD
315,MR BERNARDC,19950328,1,BERNARDC
316,CHAIRMAN GREENSPAN,19950523,81,GREENSPAN
317,MS MINEHAN,19950523,13,MINEHAN
318,MR FISHER,19950523,15,FISHER
319,MS PHILLIPS,19950523,6,PHILLIPS
320,MR KOHN,19950523,8,KOHN
321,MR FORRESTAL,19950523,3,FORRESTAL
322,MR BLINDER,19950523,12,BLINDER
323,MR KELLEY,19950523,4,KELLEY
324,MR MCTEER,19950523,3,MCTEER
325,VICE CHAIRMAN MCDONOUGH,19950523,7,MCDONOUGH
326,MR PRELL,19950523,14,PRELL
327,MR MOSKOW,19950523,4,MOSKOW
328,MR PARRY,19950523,4,PARRY
329,MR TRUMAN,19950523,2,TRUMAN
330,MR JORDAN,19950523,3,JORDAN
331,MR STOCKTON,19950523,1,STOCKTON
332,MR BROADDUS,19950523,2,BROADDUS
333,MR BOEHNE,19950523,2,BOEHNE
334,MR HOENIG,19950523,2,HOENIG
335,MR STERN,19950523,2,STERN
336,MR MELZER,19950523,2,MELZER
337,MR LINDSEY,19950523,6,LINDSEY
338,MS YELLEN,19950523,2,YELLEN
339,COFFEE BREAKMR KOHN,19950523,1,KOHN
340,MR BERNARD,19950523,3,BERNARD
