,speaker,date,speak_count,speaker_unique
2846,MR BARRON,20061025,4,BARRON
2847,VICE CHAIRMAN GEITHNER,20061025,18,GEITHNER
2848,MR KOS,20061025,1,KOS
2849,GOVERNOR KOHN,20061025,1,KOHN
2850,MR STOCKTON,20061025,13,STOCKTON
2851,MS JOHNSON,20061025,2,JOHNSON
2852,MS YELLEN,20061025,6,YELLEN
2853,MR MOSKOW,20061025,13,MOSKOW
2854,MR FISHER,20061025,18,FISHER
2855,MR PLOSSER,20061025,7,PLOSSER
2856,MS PIANALTO,20061025,5,PIANALTO
2857,MR KOHN,20061025,12,KOHN
2858,MS MINEHAN,20061025,16,MINEHAN
2859,MR HOENIG,20061025,10,HOENIG
2860,MR STERN,20061025,5,STERN
2861,MR POOLE,20061025,16,POOLE
2862,MR LACKER,20061025,8,LACKER
2863,MS BIES,20061025,3,BIES
2864,MR WARSH,20061025,4,WARSH
2865,MR KROSZNER,20061025,5,KROSZNER
2866,MR MISHKIN,20061025,7,MISHKIN
2867,MR REINHART,20061025,12,REINHART
2868,MS DANKER,20061025,1,DANKER
2869,CHAIRMAN BERNANKE,20061212,81,BERNANKE
2870,MS MINEHAN,20061212,13,MINEHAN
2871,MR KOS,20061212,9,KOS
2872,MR FISHER,20061212,8,FISHER
2873,MS BIES,20061212,3,BIES
2874,MR LACKER,20061212,8,LACKER
2875,MR POOLE,20061212,7,POOLE
2876,MR KOHN,20061212,9,KOHN
2877,MR STOCKTON,20061212,12,STOCKTON
2878,MR KAMIN,20061212,2,KAMIN
2879,MR MOSKOW,20061212,4,MOSKOW
2880,MS PIANALTO,20061212,6,PIANALTO
2881,MR PLOSSER,20061212,7,PLOSSER
2882,VICE CHAIRMAN GEITHNER,20061212,16,GEITHNER
2883,MS YELLEN,20061212,4,YELLEN
2884,MR HOENIG,20061212,6,HOENIG
2885,MR BARRON,20061212,2,BARRON
2886,MR STERN,20061212,4,STERN
2887,MR WARSH,20061212,3,WARSH
2888,MR KROSZNER,20061212,2,KROSZNER
2889,MR MISHKIN,20061212,4,MISHKIN
2890,MR MADIGAN,20061212,8,MADIGAN
2891,BCHAIRMAN BERNANKE,20061212,2,BERNANKE
2892,MR WILCOX,20061212,1,WILCOX
2893,CCHAIRMAN BERNANKE,20061212,1,BERNANKE
2894,MS DANKER,20061212,1,DANKER
2895,CHAIRMAN BERNANKE,20070131,151,BERNANKE
2896,MR DUDLEY,20070131,8,DUDLEY
2897,MR KOHN,20070131,16,KOHN
2898,FOMCMS DANKER,20070131,1,DANKER
2899,MR POOLE,20070131,16,POOLE
2900,MS DANKER,20070131,3,DANKER
2901,MR ALVAREZ,20070131,2,ALVAREZ
2902,MR FISHER,20070131,21,FISHER
2903,VICE CHAIRMAN GEITHNER,20070131,34,GEITHNER
2904,MR REINHART,20070131,13,REINHART
2905,MS JOHNSON,20070131,2,JOHNSON
2906,MR LACKER,20070131,24,LACKER
2907,MR SLIFMAN,20070131,5,SLIFMAN
2908,MR WASCHER,20070131,4,WASCHER
2909,MR GAGNON,20070131,11,GAGNON
2910,MR STOCKTON,20070131,14,STOCKTON
2911,MR STERN,20070131,6,STERN
2912,MS MINEHAN,20070131,32,MINEHAN
2913,MR MOSKOW,20070131,16,MOSKOW
2914,MR PLOSSER,20070131,8,PLOSSER
2915,MS YELLEN,20070131,13,YELLEN
2916,MS PIANALTO,20070131,4,PIANALTO
2917,MR HOENIG,20070131,10,HOENIG
2918,MR BARRON,20070131,3,BARRON
2919,MS BIES,20070131,3,BIES
2920,MR WARSH,20070131,3,WARSH
2921,MR KROSZNER,20070131,6,KROSZNER
2922,MR MISHKIN,20070131,9,MISHKIN
2923,BMR HOENIG,20070131,1,HOENIG
2924,BCHAIRMAN BERNANKE,20070131,2,BERNANKE
2925,MR REIFSCHNEIDER,20070131,1,REIFSCHNEIDER
2926,MR DOYLE,20070131,4,DOYLE
2927,CHAIRMAN BERNANKE,20070321,110,BERNANKE
2928,MR DUDLEY,20070321,16,DUDLEY
2929,MR FISHER,20070321,10,FISHER
2930,MS MINEHAN,20070321,14,MINEHAN
2931,VICE CHAIRMAN GEITHNER,20070321,16,GEITHNER
2932,MR LACKER,20070321,18,LACKER
2933,MR REINHART,20070321,13,REINHART
2934,MR MOSKOW,20070321,12,MOSKOW
2935,MS PIANALTO,20070321,5,PIANALTO
2936,MR STOCKTON,20070321,7,STOCKTON
2937,MS JOHNSON,20070321,4,JOHNSON
2938,MR POOLE,20070321,14,POOLE
2939,MR STERN,20070321,6,STERN
2940,MS YELLEN,20070321,3,YELLEN
2941,MR PLOSSER,20070321,5,PLOSSER
2942,MR HOENIG,20070321,6,HOENIG
2943,MR KROSZNER,20070321,9,KROSZNER
2944,MR MISHKIN,20070321,17,MISHKIN
2945,MR LOCKHART,20070321,3,LOCKHART
2946,MR KOHN,20070321,9,KOHN
2947,MR WARSH,20070321,3,WARSH
2948,BCHAIRMAN BERNANKE,20070321,1,BERNANKE
2949,MS DANKER,20070321,2,DANKER
2950,CHAIRMAN BERNANKE,20070509,78,BERNANKE
2951,MR DUDLEY,20070509,4,DUDLEY
2952,MR FISHER,20070509,13,FISHER
2953,MR KOHN,20070509,10,KOHN
2954,MS MINEHAN,20070509,13,MINEHAN
2955,MR STOCKTON,20070509,11,STOCKTON
2956,MS JOHNSON,20070509,1,JOHNSON
2957,MR MOSKOW,20070509,8,MOSKOW
2958,MR POOLE,20070509,5,POOLE
2959,MR STERN,20070509,9,STERN
2960,MR PLOSSER,20070509,7,PLOSSER
2961,MR REINHART,20070509,14,REINHART
2962,MS YELLEN,20070509,2,YELLEN
2963,MR LACKER,20070509,6,LACKER
2964,MR LOCKHART,20070509,3,LOCKHART
2965,MS PIANALTO,20070509,2,PIANALTO
2966,MR HOENIG,20070509,2,HOENIG
2967,VICE CHAIRMAN GEITHNER,20070509,11,GEITHNER
2968,MR WARSH,20070509,2,WARSH
2969,MR KROSZNER,20070509,5,KROSZNER
2970,MR MISHKIN,20070509,3,MISHKIN
2971,MS DANKER,20070509,1,DANKER
2972,CHAIRMAN BERNANKE,20070628,134,BERNANKE
2973,MS MINEHAN,20070628,26,MINEHAN
2974,MR DUDLEY,20070628,5,DUDLEY
2975,VICE CHAIRMAN GEITHNER,20070628,24,GEITHNER
2976,MR KOHN,20070628,20,KOHN
2977,MR FISHER,20070628,16,FISHER
2978,MR REINHART,20070628,22,REINHART
2979,MR LACKER,20070628,19,LACKER
2980,MR WILCOX,20070628,8,WILCOX
2981,MS LIANG,20070628,10,LIANG
2982,MR LEAHY,20070628,5,LEAHY
2983,MR LOCKHART,20070628,6,LOCKHART
2984,MS JOHNSON,20070628,3,JOHNSON
2985,MR HOENIG,20070628,13,HOENIG
2986,MR MOSKOW,20070628,12,MOSKOW
2987,MR STOCKTON,20070628,2,STOCKTON
2988,MR PLOSSER,20070628,9,PLOSSER
2989,MR STERN,20070628,7,STERN
2990,MR KROSZNER,20070628,12,KROSZNER
2991,MS YELLEN,20070628,5,YELLEN
2992,MS PIANALTO,20070628,6,PIANALTO
2993,MR POOLE,20070628,9,POOLE
2994,MR WARSH,20070628,5,WARSH
2995,MR MISHKIN,20070628,14,MISHKIN
2996,GOVERNOR KROSZNER,20070628,1,KROSZNER
2997,PCEMR WILCOX,20070628,1,WILCOX
2998,BCHAIRMAN BERNANKE,20070628,1,BERNANKE
2999,MS SMITH,20070628,1,SMITH
3000,USMR REINHART,20070628,1,REINHART
3001,CHAIRMAN BERNANKE,20070807,80,BERNANKE
3002,MR ROSENGREN,20070807,5,ROSENGREN
3003,MR MOSKOW,20070807,8,MOSKOW
3004,MS SMITH,20070807,1,SMITH
3005,MR KOHN,20070807,11,KOHN
3006,MR MADIGAN,20070807,6,MADIGAN
3007,MR DUDLEY,20070807,7,DUDLEY
3008,MR POOLE,20070807,3,POOLE
3009,MR FISHER,20070807,10,FISHER
3010,MS JOHNSON,20070807,4,JOHNSON
3011,MR REINHART,20070807,1,REINHART
3012,MR WILCOX,20070807,3,WILCOX
3013,MR LACKER,20070807,11,LACKER
3014,MS YELLEN,20070807,2,YELLEN
3015,MS PIANALTO,20070807,2,PIANALTO
3016,MR STERN,20070807,2,STERN
3017,MR HOENIG,20070807,3,HOENIG
3018,MR PLOSSER,20070807,8,PLOSSER
3019,MR LOCKHART,20070807,4,LOCKHART
3020,MR MISHKIN,20070807,14,MISHKIN
3021,VICE CHAIRMAN GEITHNER,20070807,4,GEITHNER
3022,MR WARSH,20070807,2,WARSH
3023,MR KROSZNER,20070807,3,KROSZNER
3024,MS DANKER,20070807,1,DANKER
3025,CHAIRMAN BERNANKE,20070918,109,BERNANKE
3026,MR EVANS,20070918,7,EVANS
3027,MR DUDLEY,20070918,24,DUDLEY
3028,MR PLOSSER,20070918,11,PLOSSER
3029,MR FISHER,20070918,26,FISHER
3030,MR STERN,20070918,5,STERN
3031,VICE CHAIRMAN GEITHNER,20070918,16,GEITHNER
3032,MR LACKER,20070918,15,LACKER
3033,MR MADIGAN,20070918,9,MADIGAN
3034,MR POOLE,20070918,12,POOLE
3035,MR STOCKTON,20070918,9,STOCKTON
3036,MS JOHNSON,20070918,10,JOHNSON
3037,MR MISHKIN,20070918,11,MISHKIN
3038,MR KOHN,20070918,10,KOHN
3039,MR HOENIG,20070918,4,HOENIG
3040,MS YELLEN,20070918,3,YELLEN
3041,MR ROSENGREN,20070918,8,ROSENGREN
3042,MS PIANALTO,20070918,3,PIANALTO
3043,MR LOCKHART,20070918,3,LOCKHART
3044,MR WARSH,20070918,5,WARSH
3045,MR KROSZNER,20070918,10,KROSZNER
3046,MS DANKER,20070918,1,DANKER
3047,MR ALVAREZ,20070918,8,ALVAREZ
3048,MS KRIEGER,20070918,12,KRIEGER
3049,OISMR POOLE,20070918,1,POOLE
3050,CHAIRMAN BERNANKE,20071031,106,BERNANKE
3051,MS JOHNSON,20071031,1,JOHNSON
3052,MR DUDLEY,20071031,5,DUDLEY
3053,MR KOHN,20071031,7,KOHN
3054,MR STOCKTON,20071031,17,STOCKTON
3055,MR SHEETS,20071031,3,SHEETS
3056,MR MADIGAN,20071031,13,MADIGAN
3057,VICE CHAIRMAN GEITHNER,20071031,24,GEITHNER
3058,MR PLOSSER,20071031,13,PLOSSER
3059,MR POOLE,20071031,13,POOLE
3060,MR HOENIG,20071031,12,HOENIG
3061,MR ROSENGREN,20071031,6,ROSENGREN
3062,MR FISHER,20071031,16,FISHER
3063,MR LACKER,20071031,12,LACKER
3064,MS YELLEN,20071031,3,YELLEN
3065,MS PIANALTO,20071031,2,PIANALTO
3066,MR LOCKHART,20071031,7,LOCKHART
3067,MR EVANS,20071031,5,EVANS
3068,MR STERN,20071031,5,STERN
3069,MR WARSH,20071031,2,WARSH
3070,MR KROSZNER,20071031,4,KROSZNER
3071,MR MISHKIN,20071031,13,MISHKIN
3072,MS DANKER,20071031,1,DANKER
3073,MS SMITH,20071031,1,SMITH
3074,CHAIRMAN BERNANKE,20071211,71,BERNANKE
3075,MR KOHN,20071211,7,KOHN
3076,VICE CHAIRMAN GEITHNER,20071211,8,GEITHNER
3077,MR SHEETS,20071211,4,SHEETS
3078,OISCHAIRMAN BERNANKE,20071211,1,BERNANKE
3079,MR DUDLEY,20071211,6,DUDLEY
3080,MR POOLE,20071211,10,POOLE
3081,MR FISHER,20071211,10,FISHER
3082,MR LOCKHART,20071211,3,LOCKHART
3083,MR PLOSSER,20071211,7,PLOSSER
3084,MS DANKER,20071211,2,DANKER
3085,MR STOCKTON,20071211,14,STOCKTON
3086,MR EVANS,20071211,6,EVANS
3087,MR STERN,20071211,3,STERN
3088,MR HOENIG,20071211,6,HOENIG
3089,MS YELLEN,20071211,8,YELLEN
3090,MR ROSENGREN,20071211,2,ROSENGREN
3091,MR MISHKIN,20071211,4,MISHKIN
3092,MR LACKER,20071211,3,LACKER
3093,MS PIANALTO,20071211,2,PIANALTO
3094,MR WARSH,20071211,2,WARSH
3095,MR KROSZNER,20071211,3,KROSZNER
3096,MR MADIGAN,20071211,2,MADIGAN
3097,MR ALVAREZ,20071211,6,ALVAREZ
3098,CHAIRMAN BERNANKE,20080130,107,BERNANKE
3099,MR POOLE,20080130,20,POOLE
3100,MR KOHN,20080130,11,KOHN
3101,MR KROSZNER,20080130,10,KROSZNER
3102,MS DANKER,20080130,2,DANKER
3103,MR DUDLEY,20080130,14,DUDLEY
3104,MR LACKER,20080130,30,LACKER
3105,MR MADIGAN,20080130,16,MADIGAN
3106,TAFMR LACKER,20080130,1,LACKER
3107,MS MOSSER,20080130,2,MOSSER
3108,MR FISHER,20080130,12,FISHER
3109,MR LOCKHART,20080130,6,LOCKHART
3110,VICE CHAIRMAN GEITHNER,20080130,26,GEITHNER
3111,MR ROSENGREN,20080130,8,ROSENGREN
3112,MR REIFSCHNEIDER,20080130,15,REIFSCHNEIDER
3113,MS LIANG,20080130,10,LIANG
3114,MR SHEETS,20080130,3,SHEETS
3115,MR EVANS,20080130,12,EVANS
3116,MR MISHKIN,20080130,23,MISHKIN
3117,MR STOCKTON,20080130,11,STOCKTON
3118,MR WASCHER,20080130,1,WASCHER
3119,MR PLOSSER,20080130,14,PLOSSER
3120,MS YELLEN,20080130,10,YELLEN
3121,MR HOENIG,20080130,8,HOENIG
3122,MR STERN,20080130,3,STERN
3123,MS PIANALTO,20080130,2,PIANALTO
3124,MR WARSH,20080130,3,WARSH
3125,MR PARKINSON,20080130,7,PARKINSON
3126,MR GIBSON,20080130,18,GIBSON
3127,MS HIRTLE,20080130,3,HIRTLE
3128,MR PETERS,20080130,4,PETERS
3129,MR GREENLEE,20080130,3,GREENLEE
3130,MR ANGULO,20080130,4,ANGULO
3131,FOMCVICE CHAIRMAN GEITHNER,20080130,1,GEITHNER
3132,CHAIRMAN BERNANKE,20080318,65,BERNANKE
3133,MR DUDLEY,20080318,13,DUDLEY
3134,VICE CHAIRMAN GEITHNER,20080318,17,GEITHNER
3135,MR WARSH,20080318,5,WARSH
3136,MR LACKER,20080318,6,LACKER
3137,MR MADIGAN,20080318,7,MADIGAN
3138,MR FISHER,20080318,19,FISHER
3139,MR ROSENGREN,20080318,3,ROSENGREN
3140,MR KOHN,20080318,7,KOHN
3141,MR STOCKTON,20080318,6,STOCKTON
3142,MR SHEETS,20080318,2,SHEETS
3143,MR EVANS,20080318,8,EVANS
3144,MR HOENIG,20080318,4,HOENIG
3145,MS YELLEN,20080318,2,YELLEN
3146,MR STERN,20080318,2,STERN
3147,MR LOCKHART,20080318,3,LOCKHART
3148,MS PIANALTO,20080318,2,PIANALTO
3149,MR SAPENARO,20080318,2,SAPENARO
3150,MR PLOSSER,20080318,4,PLOSSER
3151,CHAIRMAN BERNANKE AEIOUVICE CHAIRMAN GEITHNER,20080318,1,GEITHNER
3152,MR KROSZNER,20080318,5,KROSZNER
3153,MR MISHKIN,20080318,13,MISHKIN
3154,DCHAIRMAN BERNANKE,20080318,1,BERNANKE
3155,MS DANKER,20080318,1,DANKER
3156,CHAIRMAN BERNANKE,20080430,111,BERNANKE
3157,MR DUDLEY,20080430,22,DUDLEY
3158,MR LACKER,20080430,9,LACKER
3159,MR HOENIG,20080430,6,HOENIG
3160,VICE CHAIRMAN GEITHNER,20080430,12,GEITHNER
3161,MR ROSENGREN,20080430,4,ROSENGREN
3162,MR EVANS,20080430,9,EVANS
3163,MR FISHER,20080430,17,FISHER
3164,MR KOHN,20080430,11,KOHN
3165,MR BULLARD,20080430,8,BULLARD
3166,ECBMR KOHN,20080430,1,KOHN
3167,MS YELLEN,20080430,5,YELLEN
3168,MR STOCKTON,20080430,16,STOCKTON
3169,MR SHEETS,20080430,2,SHEETS
3170,MR MADIGAN,20080430,14,MADIGAN
3171,MR STERN,20080430,9,STERN
3172,MR PLOSSER,20080430,9,PLOSSER
3173,MR LOCKHART,20080430,4,LOCKHART
3174,MS PIANALTO,20080430,3,PIANALTO
3175,MR WARSH,20080430,4,WARSH
3176,MR KROSZNER,20080430,7,KROSZNER
3177,MR MISHKIN,20080430,17,MISHKIN
3178,MR ENGLISH,20080430,5,ENGLISH
3179,BCHAIRMAN BERNANKE,20080430,1,BERNANKE
3180,MS DANKER,20080430,1,DANKER
3181,MR MEYER,20080430,5,MEYER
3182,MR CLOUSE,20080430,3,CLOUSE
3183,MR HILTON,20080430,7,HILTON
3184,CHAIRMAN BERNANKE,20080625,110,BERNANKE
3185,MR DUDLEY,20080625,15,DUDLEY
3186,MR LACKER,20080625,31,LACKER
3187,MR FISHER,20080625,22,FISHER
3188,MR PLOSSER,20080625,13,PLOSSER
3189,MR STERN,20080625,5,STERN
3190,VICE CHAIRMAN GEITHNER,20080625,17,GEITHNER
3191,MR KOHN,20080625,11,KOHN
3192,MR SHEETS,20080625,5,SHEETS
3193,MR SLIFMAN,20080625,5,SLIFMAN
3194,MR WASCHER,20080625,3,WASCHER
3195,MR MADIGAN,20080625,6,MADIGAN
3196,MR EVANS,20080625,5,EVANS
3197,MR STOCKTON,20080625,3,STOCKTON
3198,MR BULLARD,20080625,6,BULLARD
3199,MR HOENIG,20080625,5,HOENIG
3200,MS YELLEN,20080625,3,YELLEN
3201,MR LOCKHART,20080625,3,LOCKHART
3202,MR ROSENGREN,20080625,8,ROSENGREN
3203,MS PIANALTO,20080625,3,PIANALTO
3204,MR WARSH,20080625,5,WARSH
3205,MR KROSZNER,20080625,5,KROSZNER
3206,MR MISHKIN,20080625,7,MISHKIN
3207,BCHAIRMAN BERNANKE,20080625,1,BERNANKE
3208,MS DANKER,20080625,1,DANKER
3209,MR ANGULO,20080625,18,ANGULO
3210,MR ALVAREZ,20080625,4,ALVAREZ
3211,MR PARKINSON,20080625,4,PARKINSON
3212,CHAIRMAN BERNANKE,20080805,62,BERNANKE
3213,MR DUDLEY,20080805,13,DUDLEY
3214,MR EVANS,20080805,11,EVANS
3215,MR FISHER,20080805,11,FISHER
3216,MR PLOSSER,20080805,11,PLOSSER
3217,MR BULLARD,20080805,3,BULLARD
3218,MR LACKER,20080805,10,LACKER
3219,MR WILCOX,20080805,14,WILCOX
3220,MR KAMIN,20080805,5,KAMIN
3221,MR REIFSCHNEIDER,20080805,8,REIFSCHNEIDER
3222,MR KROSZNER,20080805,3,KROSZNER
3223,MR LOCKHART,20080805,4,LOCKHART
3224,VICE CHAIRMAN GEITHNER,20080805,6,GEITHNER
3225,MR ROSENGREN,20080805,3,ROSENGREN
3226,MR MISHKIN,20080805,3,MISHKIN
3227,MS YELLEN,20080805,2,YELLEN
3228,MS PIANALTO,20080805,2,PIANALTO
3229,MR STERN,20080805,2,STERN
3230,MR HOENIG,20080805,2,HOENIG
3231,MR KOHN,20080805,2,KOHN
3232,MR WARSH,20080805,2,WARSH
3233,MS DUKE,20080805,2,DUKE
3234,MS SMITH,20080805,1,SMITH
3235,MR MADIGAN,20080805,2,MADIGAN
3236,BCHAIRMAN BERNANKE,20080805,2,BERNANKE
3237,MS DANKER,20080805,1,DANKER
3238,CHAIRMAN BERNANKE,20080916,82,BERNANKE
3239,MR DUDLEY,20080916,29,DUDLEY
3240,MR ROSENGREN,20080916,3,ROSENGREN
3241,MR PLOSSER,20080916,11,PLOSSER
3242,MR LACKER,20080916,25,LACKER
3243,MR PARKINSON,20080916,1,PARKINSON
3244,MR KOHN,20080916,10,KOHN
3245,MR SHEETS,20080916,4,SHEETS
3246,MR FISHER,20080916,9,FISHER
3247,MR STERN,20080916,4,STERN
3248,MR MADIGAN,20080916,5,MADIGAN
3249,MS DANKERC,20080916,1,DANKERC
3250,MR STOCKTON,20080916,1,STOCKTON
3251,MR KROSZNER,20080916,3,KROSZNER
3252,MR LOCKHART,20080916,1,LOCKHART
3253,MR HOENIG,20080916,3,HOENIG
3254,MS YELLEN,20080916,1,YELLEN
3255,MR BULLARD,20080916,1,BULLARD
3256,MR EVANS,20080916,4,EVANS
3257,MS PIANALTO,20080916,1,PIANALTO
3258,MS CUMMING,20080916,1,CUMMING
3259,MR WARSH,20080916,9,WARSH
3260,MS DUKE,20080916,1,DUKE
3261,MS DANKER,20080916,1,DANKER
3262,CHAIRMAN BERNANKE,20081029,113,BERNANKE
3263,MR DUDLEY,20081029,10,DUDLEY
3264,MR SHEETS,20081029,31,SHEETS
3265,MR BASSETT,20081029,1,BASSETT
3266,MR FISHER,20081029,17,FISHER
3267,MR EVANS,20081029,5,EVANS
3268,VICE CHAIRMAN GEITHNER,20081029,18,GEITHNER
3269,MR ROSENGREN,20081029,7,ROSENGREN
3270,MR STERN,20081029,4,STERN
3271,MR LACKER,20081029,27,LACKER
3272,MR KOHN,20081029,8,KOHN
3273,MR PLOSSER,20081029,22,PLOSSER
3274,MR HOENIG,20081029,4,HOENIG
3275,MR LOCKHART,20081029,7,LOCKHART
3276,MR BULLARD,20081029,5,BULLARD
3277,MS MOSSER,20081029,1,MOSSER
3278,MS DUKE,20081029,7,DUKE
3279,IMFCHAIRMAN BERNANKE,20081029,1,BERNANKE
3280,MR KROSZNER,20081029,4,KROSZNER
3281,MS PIANALTO,20081029,3,PIANALTO
3282,MR WARSH,20081029,3,WARSH
3283,MR MADIGAN,20081029,7,MADIGAN
3284,MR MORIN,20081029,3,MORIN
3285,MS KOLE,20081029,3,KOLE
3286,MR STOCKTON,20081029,9,STOCKTON
3287,MS YELLEN,20081029,2,YELLEN
3288,ACHAIRMAN BERNANKE,20081029,1,BERNANKE
3289,MS DANKER,20081029,3,DANKER
3290,CHAIRMAN BERNANKE,20081216,160,BERNANKE
3291,MR DUDLEY,20081216,72,DUDLEY
3292,MR HOENIG,20081216,17,HOENIG
3293,MR FISHER,20081216,37,FISHER
3294,MR BULLARD,20081216,16,BULLARD
3295,MR LACKER,20081216,83,LACKER
3296,MR WILCOX,20081216,3,WILCOX
3297,MR KOHN,20081216,14,KOHN
3298,MR MADIGAN,20081216,14,MADIGAN
3299,MR MEYER,20081216,1,MEYER
3300,MR PLOSSER,20081216,15,PLOSSER
3301,MS YELLEN,20081216,3,YELLEN
3302,MR LOCKHART,20081216,6,LOCKHART
3303,MR EVANS,20081216,6,EVANS
3304,MR STERN,20081216,3,STERN
3305,MR ROSENGREN,20081216,7,ROSENGREN
3306,MS PIANALTO,20081216,3,PIANALTO
3307,MS CUMMING,20081216,6,CUMMING
3308,MR WARSH,20081216,5,WARSH
3309,MR KROSZNER,20081216,6,KROSZNER
3310,MS DUKE,20081216,8,DUKE
3311,MR COVITZ,20081216,11,COVITZ
3312,MS AARONSON,20081216,6,AARONSON
3313,MR AHMED,20081216,9,AHMED
3314,MR SHEETS,20081216,3,SHEETS
3315,MR STOCKTON,20081216,7,STOCKTON
3316,MR AARONSON,20081216,1,AARONSON
3317,MS DANKER,20081216,2,DANKER
3318,MR PARKINSON,20081216,8,PARKINSON
3319,AAAMR PARKINSON,20081216,1,PARKINSON
3320,ABSMR DUDLEY,20081216,1,DUDLEY
3321,CHAIRMAN BERNANKE,20090128,162,BERNANKE
3322,MR DUDLEY,20090128,2,DUDLEY
3323,MR FISHER,20090128,21,FISHER
3324,MR LACKER,20090128,58,LACKER
3325,MR KOHN,20090128,22,KOHN
3326,MR HOENIG,20090128,8,HOENIG
3327,MS YELLEN,20090128,5,YELLEN
3328,MS DANKER,20090128,3,DANKER
3329,MS MOSSER,20090128,16,MOSSER
3330,MS DANKERC,20090128,1,DANKERC
3331,MR HILTON,20090128,1,HILTON
3332,MR MADIGAN,20090128,12,MADIGAN
3333,MR SHEETS,20090128,18,SHEETS
3334,MR ROSENGREN,20090128,14,ROSENGREN
3335,MR EVANS,20090128,22,EVANS
3336,VICE CHAIRMAN DUDLEY,20090128,28,DUDLEY
3337,MR LOCKHART,20090128,10,LOCKHART
3338,MR PLOSSER,20090128,31,PLOSSER
3339,MR BULLARD,20090128,21,BULLARD
3340,MR STERN,20090128,8,STERN
3341,MR STOCKTON,20090128,8,STOCKTON
3342,MR SICHEL,20090128,25,SICHEL
3343,MS DYNAN,20090128,11,DYNAN
3344,MR REEVE,20090128,1,REEVE
3345,MR OLINER,20090128,1,OLINER
3346,MS DUKE,20090128,4,DUKE
3347,MS PIANALTO,20090128,4,PIANALTO
3348,MR WARSH,20090128,9,WARSH
3349,MS YELLEN,20090128,1,YELLEN
3350,CHAIRMAN BERNANKE,20090318,188,BERNANKE
3351,MR KOHN,20090318,8,KOHN
3352,MS MOSSER,20090318,39,MOSSER
3353,TALFCHAIRMAN BERNANKE,20090318,1,BERNANKE
3354,MR FISHER,20090318,29,FISHER
3355,MR NELSON,20090318,17,NELSON
3356,MR GAGNON,20090318,8,GAGNON
3357,MR REIFSCHNEIDER,20090318,12,REIFSCHNEIDER
3358,MR SHEETS,20090318,12,SHEETS
3359,MR HILTON,20090318,9,HILTON
3360,MR MADIGAN,20090318,13,MADIGAN
3361,VICE CHAIRMAN DUDLEY,20090318,22,DUDLEY
3362,MR HOENIG,20090318,10,HOENIG
3363,MR LACKER,20090318,52,LACKER
3364,MS BAILEY,20090318,2,BAILEY
3365,MR PLOSSER,20090318,30,PLOSSER
3366,MR EVANS,20090318,18,EVANS
3367,MR LOCKHART,20090318,7,LOCKHART
3368,MS PIANALTO,20090318,8,PIANALTO
3369,MS YELLEN,20090318,4,YELLEN
3370,MR BULLARD,20090318,23,BULLARD
3371,TALFMR BULLARD,20090318,1,BULLARD
3372,MR ROSENGREN,20090318,6,ROSENGREN
3373,MR WARSH,20090318,4,WARSH
3374,MR STERN,20090318,6,STERN
3375,MR TARULLO,20090318,10,TARULLO
3376,MS DUKE,20090318,7,DUKE
3377,MS DANKER,20090318,2,DANKER
3378,MR STOCKTON,20090318,3,STOCKTON
3379,MR KAMIN,20090318,2,KAMIN
3380,TALFMR FISHER,20090318,1,FISHER
3381,AMR MADIGAN,20090318,1,MADIGAN
3382,MS DANKERC,20090318,1,DANKERC
3383,CHAIRMAN BERNANKE,20090429,120,BERNANKE
3384,MR KOHN,20090429,15,KOHN
3385,MS MOSSER,20090429,33,MOSSER
3386,MR CARPENTER,20090429,2,CARPENTER
3387,MR BURKE,20090429,2,BURKE
3388,MR NELSON,20090429,7,NELSON
3389,MR ROSENGREN,20090429,6,ROSENGREN
3390,MR FISHER,20090429,24,FISHER
3391,MS PIANALTO,20090429,4,PIANALTO
3392,VICE CHAIRMAN DUDLEY,20090429,8,DUDLEY
3393,MR HOENIG,20090429,10,HOENIG
3394,MR LACKER,20090429,29,LACKER
3395,MR PLOSSER,20090429,13,PLOSSER
3396,MR STOCKTON,20090429,6,STOCKTON
3397,MR SHEETS,20090429,1,SHEETS
3398,MR MADIGAN,20090429,10,MADIGAN
3399,MR REIFSCHNEIDER,20090429,4,REIFSCHNEIDER
3400,MS YELLEN,20090429,5,YELLEN
3401,MR EVANS,20090429,15,EVANS
3402,MR LOCKHART,20090429,4,LOCKHART
3403,MR BULLARD,20090429,5,BULLARD
3404,MR STERN,20090429,6,STERN
3405,MR WARSH,20090429,6,WARSH
3406,MS DUKE,20090429,2,DUKE
3407,MR TARULLO,20090429,2,TARULLO
3408,AMR STERN,20090429,1,STERN
3409,BCHAIRMAN BERNANKE,20090429,1,BERNANKE
3410,MS DANKER,20090429,1,DANKER
3411,MS DANKERC,20090429,1,DANKERC
3412,CHAIRMAN BERNANKE,20090624,123,BERNANKE
3413,MR KOHN,20090624,18,KOHN
3414,MR SACK,20090624,12,SACK
3415,MR CARPENTER,20090624,12,CARPENTER
3416,MR ENGLISH,20090624,1,ENGLISH
3417,MS MOSSER,20090624,20,MOSSER
3418,MR CLOUSE,20090624,3,CLOUSE
3419,MR HILTON,20090624,6,HILTON
3420,MR MADIGAN,20090624,17,MADIGAN
3421,MR FISHER,20090624,17,FISHER
3422,VICE CHAIRMAN DUDLEY,20090624,15,DUDLEY
3423,MR SHEETS,20090624,6,SHEETS
3424,MR LACKER,20090624,30,LACKER
